,is_exc_all,pref_orth_diff,sg_idx_snr,sg0_idx_snr,sg0_osi_dich,sg1_si_salient_pref_all,sg2_rf_in,sg2_resp_orth_0,sg2_resp_orth_30,sg2_resp_pref_0,sg2_resp_pref_30,smg_idx_snr
147,False,-2.9870136309928554,False,False,0.21338116700304444,-0.07856530179562365,False,25.624942902463655,29.39196496198957,9.03981296524692,11.517602326758865,True
148,False,1.982559584206541,False,False,0.0914784235811587,-0.16276574586476591,False,7.260912023962307,9.020601382049229,30.993458688354647,29.69654945202937,True
149,False,18.59461773927203,False,False,0.08322038220742131,0.17715104860253125,False,38.579591944670454,45.34351484288868,4.461892812202374,4.0807285202213395,False
150,False,,False,False,0.019473084302245963,,False,8.866743479753866,10.726121577452147,6.609482168673705,5.486085923531882,True
151,False,-2.1048401219722552,False,False,,,False,0.0,0.0,0.0,0.0,True
152,False,,True,False,0.08416258797596954,,False,44.416686865853336,44.94503138222707,16.085870381950652,16.56068635373884,True
153,False,2.339969313440797,True,True,0.055362405801931865,0.058784739797714855,False,9.051444172286072,10.850061550199126,5.432928169014838,3.206354774152621,True
154,False,-15.534798470325766,True,True,0.4256463199677199,-0.4035017361583175,False,16.021357776286703,9.713532435368203,77.8279639310084,64.50018039976176,True
155,False,,False,False,0.11389270509193646,,False,15.635108807816719,16.595387081794726,7.141131086286921,2.5704233985295732,False
156,False,-0.4980630194768274,False,False,0.09308612566349421,0.15909159645728255,False,4.437687738450805,5.228249149916405,27.90352741093673,23.530380460135163,True
157,False,,False,False,0.16147053990302887,,False,17.264622525634383,10.998149202951492,100.0,100.0,False
158,False,1.8779684073673728,False,False,0.14268770597642685,0.12119795900714829,False,4.562411776625174,3.1052142367937057,26.40998156562161,27.781946143666765,False
159,False,,False,False,0.2314487801161702,,False,27.680660038350673,28.606016332468688,10.287875088457117,11.661109905510855,True
160,True,,False,False,0.04584994882287573,,False,100.0,99.89995595163262,22.151389075674484,17.955602883623957,False
161,True,,False,False,0.14887178301475862,,False,3.011877047157703,4.807735189365654,26.623931190787026,29.26958037564197,True
162,True,,False,False,0.5673644596185108,,False,7.599638955524335,3.578792704412571,12.098877585540787,10.828318952057415,True
163,True,,True,False,0.3470179254620149,,False,9.331626290968883,7.037674912060492,24.209023239508944,21.899692626305836,True
164,True,,False,False,0.3142357386255723,,False,5.403241974134476,11.565553478490658,3.307909334066491,6.077699055059408,False
165,True,-1.4567864028354869,False,False,0.10023548544571426,-0.041651901658267675,True,2.4738129819385133,1.3684078210439437,4.174809459214791,3.2801887252105346,False
166,True,,False,False,0.6635473262826984,,True,9.06078255180126,11.155637632936049,2.217480399069758,0.9229264872518775,True
167,True,,False,False,0.15005820988524673,,False,19.508844862978613,13.31654579521945,7.6118010354156675,8.503744740737604,True
168,True,,False,False,0.06884410904314557,,False,5.433269208147884,3.508768989764249,2.137408270082699,2.056776248851421,True
169,True,-0.4543606653952828,False,False,0.0756185664853042,-0.3560075915243446,False,0.8963606519720111,1.2920389763222864,1.8224299111618443,0.2560970473747987,False
170,True,0.0,False,False,0.5915026147582605,-1.0,False,0.0,0.0,16.25382565087281,17.059225053257805,False
171,True,,False,False,0.24950499769560464,,False,6.797947342841862,5.934848789280902,0.01811737433457986,1.7965564781274552,False
172,True,0.5215590787776865,False,False,0.1204802041850835,-0.09683035757788079,True,0.0,0.16781780773248428,1.733685827646882,2.2308212055418735,True
173,True,,False,False,0.010143629683470597,,False,0.0,0.0,6.518800647915131,4.9218387281946026,True
174,True,,False,False,0.19099473604821346,,False,8.100571968497182,3.0676874962862195,0.5049434762734634,1.0528271301434589,True
175,True,-0.003631214300791423,False,False,0.9898048325035054,-1.0,False,0.0,0.0,2.507162118145527,2.3623459238129163,False
176,True,,True,True,0.37344294565365416,,False,18.07065230077849,14.407300461943336,5.61238375492394,6.091794333635617,True
177,True,0.49534193486368494,True,False,0.17384738648803744,0.20845061452460037,False,12.661883846247711,12.338333213985425,6.093746786817716,5.7007124009004855,True
178,True,-2.2098060772390054,True,True,0.24784520519009093,-0.4729538621133733,False,6.732988485556023,5.6585873858645,0.0,0.0,True
179,True,-0.23970572691700198,False,False,0.37305931640538187,-0.1121845193775883,False,15.752169276551845,13.409809707365456,17.026484113198535,17.34597320489299,True
180,True,-0.5230594736535927,False,False,0.32175271189095456,-0.1347079665653122,False,18.30687335417725,17.154105368028517,14.036841556076885,14.429187387323536,True
181,True,-3.2549101383558128,True,True,0.010067893728642896,-0.14460067504721624,False,8.18575303043382,5.902377724384842,4.083583630372931,3.4513951218925802,True
182,True,2.589666615926829,True,False,0.374233105374441,0.04770874200827555,False,12.714250323076087,7.548279688717463,18.564960510613258,19.84613237242835,True
183,True,3.5049596854533323,True,True,0.7584956516963094,-0.06294245551530923,False,0.7910559121041728,0.46947664939440203,24.288318987088033,22.95895982130717,True
184,True,-16.873461747876345,False,False,0.2245108819653581,-0.5826518343375118,False,100.0,62.5961121603942,1.8821689749482828,1.9312797643495003,False
